"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"112",107429.60920011,274176.126725727,233037.224803241,21.1590687856077,22.7724067310903,22.204320841237
"113",106962.858523833,257529.031639345,245016.623113986,21.7209725174427,23.3143273516759,22.3155919896301
"114",122182.99209577,309259.688063207,264448.121648303,21.2106827326264,22.8720184815759,22.1355767470251
"115",113241.874434801,296352.806850859,270891.426754835,20.6123868828543,22.4290551034391,21.4628102469348
"116",114263.738237133,274393.719573735,249420.530456889,21.3374993626014,23.1002565552598,22.2171642171104
"117",124091.511665461,276068.835902758,259481.827709006,21.6004233813043,23.4628007656036,22.3106820828906
"118",111313.735478223,258215.559006299,248229.275500629,22.1574238523701,23.7717706326756,22.8061792577725
"119",121218.626557483,304721.730529681,289400.755602291,20.1331358651212,22.1934197292586,20.7889918804412
"120",102488.912004039,278928.661490278,245420.818717489,20.5774520661918,22.2308932228743,21.590186132022
"121",108042.649200803,264118.013396148,244426.766581736,21.0748216360428,22.8949323250296,22.0725323586051
"122",120457.857054038,290270.70774192,266332.85978971,20.6394190314996,22.5378642761193,21.5225299119884
"123",116197.558568718,293714.22390343,260458.344978635,20.6011898576474,22.3137684338739,21.4892714221688
"124",121530.31009685,307114.085847136,274491.450099079,20.4424527262313,22.4123923433104,21.1845418257339
"125",110421.45167708,296411.450227485,272050.816475585,20.7517716791643,22.4122273789014,21.5160343599321
"126",106724.112615209,239703.529021029,217544.672437274,22.3605345891682,23.9758098867544,23.0286290040593
"127",116157.011255689,301715.244909912,290002.305187892,20.7179687367492,22.7373843711177,21.2477219528163
"128",109455.266590329,267932.192495855,242182.962903536,21.9658591905324,23.4140512852238,22.7050084079585
"129",115757.298659797,291332.926069141,279952.861552936,20.8709354343088,22.5789429188145,21.5186856903194
"130",121691.470961584,306449.182949092,277869.400961187,20.5655156700315,22.2558745412475,21.4705141150348
"131",106129.936886647,274619.296251858,254225.498320596,21.2287378365636,22.8683047804968,22.0900120315375
"132",126376.682917475,303229.844606153,261529.181321896,20.7847197160191,22.7103640675627,21.6754384597644
"133",114723.178772428,315368.145247222,300829.45264447,20.4956949792236,22.341274703393,21.0384634188174
"134",116222.194379578,311424.979986106,295656.595291812,20.8755836376401,22.7792107051871,21.4637090772026
"135",119628.782520416,337254.486697119,310885.913074876,18.8767496307285,20.9099406275807,19.5548365904728
"136",118792.459264897,285021.944114392,262478.13432739,21.2547444004508,23.0820897671513,21.9457230091699
"137",105798.276782186,266416.103755222,228300.640174884,22.0722787054073,23.4569610797723,22.9283679125745
"138",104310.830372146,250660.109610772,227502.34414844,22.2456744481267,23.9427721226155,22.990646069734
"139",114744.30191483,304968.033874992,286316.050439408,20.2399424355798,22.0925530472408,20.9145756953674
"140",118426.233789786,324553.286823013,292091.334615375,20.3977616173409,22.2437421303243,21.3229898530134
"141",104714.62495715,254651.911446251,234476.078125573,22.3893517269134,23.7905874144295,22.8869834878235
